"","lat","lng"
"1",-22.8192975325306,-47.0694864874323
"2",-22.8153241975789,-47.070260097634
"3",-22.814977947171,-47.0648737117719
"4",-22.81488878949,-47.0658595146486
"5",-22.8151874843458,-47.0691770880608
"6",-22.8152732031123,-47.0682548321778
"7",-22.817844425427,-47.0671122111403
"8",-22.813033233353,-47.0684962309627
"9",-22.8158743544266,-47.0677805753862
"10",-22.8193683905459,-47.0675370968472
"11",-22.8244507512838,-47.0652453570954
"12",-22.8302085277687,-47.0630759530105
"13",-22.8203569045972,-47.0674399436123
"14",-22.8195438439481,-47.0605420059405
"15",-22.8196850589439,-47.0657145103324
"16",-22.8209264931332,-47.0643854066731
"17",-22.8151993004648,-47.0728407135206
"18",-22.8166312748378,-47.0656280388962
"19",-22.8164633684705,-47.061929721894
"20",-22.8210241685758,-47.0664770443761
"21",-22.830938988179,-47.0633097963278
